UNIQUE_ID,Test ID,Shot X,Shot Y,Step Pitch X,Step Pitch Y,Map Shift X,Map Shift Y,Coordinate X,Coordinate Y,Wafer X,Wafer Y,Radius
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,13,-6,-1,22583.68,32940,2814.357,0,-11291.84,5693.5,-143979.563,-27246.5,146534.9321
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,14,-6,-1,22583.68,32940,2814.357,0,11291.84,9215.3,-121395.883,-23724.7,123692.4484
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,15,-6,-1,22583.68,32940,2814.357,0,-5574.62,3294,-138262.343,-29646,141404.9533
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,16,-6,-1,22583.68,32940,2814.357,0,1662.5,3294,-131025.223,-29646,134337.2412
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,17,-6,-1,22583.68,32940,2814.357,0,7308.42,3294,-125379.303,-29646,128836.5435
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,18,-6,-1,22583.68,32940,2814.357,0,-11291.84,-2444.7,-143979.563,-35384.7,148263.9253
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,19,-6,-1,22583.68,32940,2814.357,0,11291.84,2811.7,-121395.883,-30128.3,125078.6747
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,20,-6,-1,22583.68,32940,2814.357,0,-5574.62,-3294,-138262.343,-36234,142931.376
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,21,-6,-1,22583.68,32940,2814.357,0,1662.5,-3294,-131025.223,-36234,135943.0462
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,22,-6,-1,22583.68,32940,2814.357,0,7308.42,-3294,-125379.303,-36234,130510.047
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,24,-6,-1,22583.68,32940,2814.357,0,11291.84,-5693.5,-121395.883,-38633.5,127395.0852
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,25,-6,-1,22583.68,32940,2814.357,0,-5574.62,-9882,-138262.343,-42822,144741.8363
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,26,-6,-1,22583.68,32940,2814.357,0,1662.5,-9882,-131025.223,-42822,137845.3218
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,27,-6,-1,22583.68,32940,2814.357,0,7308.42,-9882,-125379.303,-42822,132490.3517
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,28,-6,-1,22583.68,32940,2814.357,0,11291.84,-11789.6,-121395.883,-44729.6,129374.2537
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,29,-6,-1,22583.68,32940,2814.357,0,-7308.42,-16470,-139996.143,-49410,148459.6516
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,30,-6,-1,22583.68,32940,2814.357,0,-1657.5,-16470,-134345.223,-49410,143143.2396
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,31,-6,-1,22583.68,32940,2814.357,0,5574.62,-16470,-127113.103,-49410,136378.4772
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,1,-6,0,22583.68,32940,2814.357,0,0,-2313.7,-132687.723,-2313.7,132707.8937
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,2,-6,0,22583.68,32940,2814.357,0,-10237.04,16470,-142924.763,16470,143870.5973
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,3,-6,0,22583.68,32940,2814.357,0,11153.04,16470,-121534.683,16470,122645.5873
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,4,-6,0,22583.68,32940,2814.357,0,10237.04,-16470,-122450.683,-16470,123553.3515
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,5,-6,0,22583.68,32940,2814.357,0,-11153.04,-16470,-143840.763,-16470,144780.6133
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,6,-6,0,22583.68,32940,2814.357,0,-5507.12,16470,-138194.843,16470,139172.8261
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,7,-6,0,22583.68,32940,2814.357,0,1743.7,16470,-130944.023,16470,131975.748
